Customer_ID,Gender,Age,Region,Marketing_Channel,Contract_Type,Payment_Method,Plan,Internet_Service,Support_Tier,Tenure_Months,Monthly_Charges,Total_Charges,Data_Usage_GB_30d,Voice_Minutes_30d,Dropped_Calls_30d,Avg_Download_Mbps,Latency_ms,Support_Calls_90d,Complaints_12m,Has_Discount,Discount_Pct,Customer_Support_Notes,Churn_30d
CUST_000001,Male,55,East,Paid Search,One year,Credit card,Standard,5G_FWA,Standard,0,66.07,133.26,234.4,679,1,79.3,40.0,3,1,0,0.0,Account stable; no issues reported. Feedback recorded.,0
CUST_000002,Female,32,North,Organic,Month-to-month,Direct debit,Basic,Fibre,Standard,1,56.91,23.52,159.5,493,0,238.7,9.0,2,0,0,0.0,Account stable; no issues reported. Routine follow-up in 30 days.,0
CUST_000003,Female,28,South,Partner,Month-to-month,Credit card,Premium,Fibre,Standard,40,104.8,4479.97,381.3,413,0,230.8,11.0,0,0,1,7.2,No recent problems; user happy with plan. No action required.,0
CUST_000004,Female,32,South,Partner,Month-to-month,Bank transfer,Standard,5G_FWA,Standard,62,69.72,4410.15,288.3,347,0,75.1,33.0,1,1,1,12.3,Account stable; no issues reported. Routine follow-up in 30 days.,0
CUST_000005,Female,44,East,Organic,Two year,Direct debit,Standard,None,Standard,3,49.04,129.96,13.3,638,0,7.1,84.0,1,0,0,0.0,No recent problems; user happy with plan. Feedback recorded.,0
CUST_000006,Male,35,West,Organic,Two year,Direct debit,Basic,Fibre,Standard,60,53.67,3228.87,215.4,659,0,347.4,23.0,1,1,0,0.0,Account stable; no issues reported. Continue monitoring.,0
CUST_000007,Male,29,East,Referral,Month-to-month,Credit card,Standard,Fibre,Standard,64,79.65,5081.92,268.9,753,0,112.5,5.0,2,0,1,18.9,Customer satisfied with service; routine check completed. Feedback recorded.,1
CUST_000008,Female,29,West,Paid Search,Two year,Direct debit,Basic,Fibre,Standard,37,39.95,1589.57,338.7,692,1,189.4,12.0,2,0,0,0.0,No recent problems; user happy with plan. Continue monitoring.,0
CUST_000009,Male,29,South,Referral,Two year,Credit card,Standard,5G_FWA,Priority,55,76.02,3915.45,273.6,246,0,49.2,14.0,3,0,0,0.0,Customer satisfied with service; routine check completed. No action required.,0
CUST_000010,Male,27,West,Referral,Two year,Direct debit,Basic,Fibre,Standard,52,141.59,2691.81,188.6,229,0,232.1,27.0,0,1,0,0.0,All services working as expected; thank you note received. No action required.,0
CUST_000011,Male,46,West,Social,One year,Direct debit,Premium,DSL,Standard,0,84.81,0.0,137.8,465,2,47.5,24.0,1,1,1,12.6,All services working as expected; thank you note received. No action required.,0
CUST_000012,Female,36,East,Referral,One year,Credit card,Standard,Fibre,Standard,19,75.66,1619.18,363.7,593,0,162.2,12.0,0,1,0,0.0,Account stable; no issues reported. Feedback recorded.,0
CUST_000013,Male,32,South,Referral,Two year,Credit card,Premium,Fibre,Standard,0,89.49,76.62,220.0,748,3,197.0,30.0,3,3,0,0.0,Customer requested plan review; offered options. Follow-up recommended.,0
CUST_000014,Female,55,South,Social,Month-to-month,Credit card,Standard,5G_FWA,Standard,44,77.15,3577.19,159.3,702,2,185.8,11.0,1,1,0,0.0,Account stable; no issues reported. No action required.,0
CUST_000015,Male,35,South,Social,Month-to-month,Direct debit,Basic,Fibre,Priority,4,61.17,326.09,348.7,849,1,146.7,19.0,0,0,0,0.0,Customer satisfied with service; routine check completed. Continue monitoring.,0
