Customer_ID,Age,Gender,Region,Marketing_Channel,Annual_Income,Loan_Amount,Credit_Score,Employment_Length_Years,Number_of_Dependents,Previous_Defaults,Existing_Debt,Customer_Feedback,Loan_Default
CUST00001,45,Male,South,Social_Media,47019.36,30281.81,708.0,22.2,0,0,14615.58,The loan approval process didn't adequately assess my repayment capacity.,1
CUST00002,38,Female,East,Phone,77896.92,42536.84396599219,711.0,7.1,3,0,15679.21,Helpful staff answered all my questions. Feel confident about this loan.,0
CUST00003,47,Female,Central,Email,111059.16,23231.29,773.0,9.6,2,0,25950.88,Struggling financially and the bank has been inflexible with payment arrangements.,1
CUST00004,58,Male,Central,Email,,23698.74,673.0,6.0,5,0,13772.24,The application was straightforward. Managing the payments adequately.,0
CUST00005,37,Male,South,Branch,76141.59,16519.21,617.0,14.4,3,0,11033.99,Reasonable experience given my credit score. Making it work.,0
CUST00006,37,Male,East,Branch,53257.62,24877.55,850.0,0.3,2,1,22140.32,I regret taking this loan. The repayment schedule doesn't work with my income.,1
CUST00007,58,Female,North,Email,33230.63,16066.15,752.0,2.5,5,0,10510.99,Efficient process from application to disbursement. Would use again.,0
CUST00008,49,Female,Central,Branch,53444.17,25606.2,692.0,5.1,1,0,20740.73,Fair service. The loan helps but the terms could be better.,0
CUST00009,34,Female,Central,Email,39565.77,20918.62,686.0,0.6,1,1,8702.1,The application was straightforward. Managing the payments adequately.,0
CUST00010,46,Female,West,Social_Media,150593.59,18974.06,703.0,9.8,0,2,32564.72,Smooth application and approval. Rates are competitive and fair.,0
CUST00011,34,Male,West,Phone,107962.48,19290.05,,4.0,1,0,7652.05,Process was fine. The loan serves its purpose even if terms aren't ideal.,0
CUST00012,34,Male,West,Email,44445.65,33245.69,690.0,,2,0,20948.43,Okay service. Some months are challenging but keeping up with payments.,0
CUST00013,42,Male,East,Email,52003.63,31403.72,719.0,,0,0,28715.93,Professional service and clear communication about terms and conditions.,0
CUST00014,18,Male,North,Email,75587.6,18415.35,621.0,10.2,3,0,318.26,Service is adequate. Would prefer lower interest but it's acceptable.,0
CUST00015,19,Male,East,Branch,114482.45,32498.26,549.0,14.4,2,1,19551.32,Having trouble keeping up with payments. Wish I had better understood the terms.,1
CUST00016,33,Male,West,Online,91453.49,20682.05,513.0,4.0,0,0,7772.97,Financial burden is overwhelming. The loan has become a significant source of stress.,1
CUST00017,27,Female,West,Branch,87501.99,20867.82,751.0,6.6,1,1,22048.88,Very satisfied with the service. Payment schedule works well for my budget.,0
CUST00018,43,Female,South,Phone,80194.1,16527.46,553.0,,0,0,16082.36,Reasonable experience given my credit score. Making it work.,0
CUST00019,29,Other,Central,Branch,45390.73,51849.85,717.0,7.8,3,0,,Quick approval process and transparent about all fees. Very satisfied.,0
CUST00020,23,Female,North,Email,76025.55,48641.02,587.0,0.1,1,0,13037.06,Not satisfied with the support provided when I started having payment difficulties.,1
CUST00021,57,Female,East,Branch,72040.97,14598.88,588.0,5.4,2,0,29977.67,I regret taking this loan. The repayment schedule doesn't work with my income.,1
CUST00022,37,Male,West,Phone,39360.94,17795.33,622.0,8.3,0,0,3978.45,The loan amount was more than I could handle. I'm having financial difficulties now.,1
CUST00023,40,Female,West,Online,148778.28,26763.12,695.0,20.0,2,0,27867.61,Service is acceptable. Making payments on time but it's tight some months.,0
CUST00024,22,Female,West,Email,56305.36,29677.36,576.0,3.8,3,0,8815.1,Service is acceptable. Making payments on time but it's tight some months.,0
CUST00025,33,Male,South,Branch,39756.52,11798.7,630.0,11.6,2,1,2163.2,The loan amount was more than I could handle. I'm having financial difficulties now.,1
CUST00026,41,Male,North,Online,60319.13,12885.35,677.0,7.3,0,0,14173.46,The process was okay. Interest rate is a bit high but manageable.,0
CUST00027,26,Female,West,Online,65354.18,29732.1,583.0,20.9,0,1,8011.09,I'm struggling to make payments. The interest rate is too high for my current situation.,1
CUST00028,44,Male,East,Email,71091.29,9253.79,794.0,4.1,1,0,18602.02,Quick approval process and transparent about all fees. Very satisfied.,0
CUST00029,32,Female,North,Branch,64883.59,14669.48,542.0,3.1,2,1,19877.4,Struggling financially and the bank has been inflexible with payment arrangements.,1
CUST00030,36,Female,West,Online,72868.62,35420.55,662.0,,0,2,12143.11,Process was fine. The loan serves its purpose even if terms aren't ideal.,0
CUST00031,32,Male,East,Social_Media,78369.9,34468.09,781.0,0.4,1,0,19207.97,Having trouble keeping up with payments. Wish I had better understood the terms.,1
CUST00032,62,Male,West,Email,76592.58,50169.36,574.0,1.2,3,1,16787.72,Financial burden is overwhelming. The loan has become a significant source of stress.,1
CUST00033,39,Male,Central,Social_Media,87211.91,60270.07,,0.7,0,0,,I'm struggling to make payments. The interest rate is too high for my current situation.,1
CUST00034,27,Male,North,Branch,89561.3,91177.2,690.0,14.8,1,1,11849.92,The process was okay. Interest rate is a bit high but manageable.,0
CUST00035,49,Male,North,Branch,90576.85,17499.34,615.0,0.1,2,0,9286.94,The loan approval process didn't adequately assess my repayment capacity.,1
CUST00036,25,Female,West,Email,100858.52,15225.03,673.0,15.8,1,0,41668.57,I regret taking this loan. The repayment schedule doesn't work with my income.,1
CUST00037,42,Male,West,Branch,53766.37,27367.32,724.0,4.8,2,0,13508.7,Quick approval process and transparent about all fees. Very satisfied.,0
